geoid,zip,population,median_income
86000US23857,23857,658,52413
86000US23879,23879,674,59122
86000US23893,23893,222,42361
86000US23917,23917,2917,60699
86000US23927,23927,3951,44056
86000US24053,24053,2699,48860
86000US24069,24069,2087,29511
86000US24076,24076,1330,36013
86000US24148,24148,7916,43906
86000US24171,24171,8524,42016
86000US24333,24333,17733,40833
86000US24348,24348,4409,36227
86000US24351,24351,558,34282
86000US24363,24363,1350,17014
86000US24520,24520,2245,31141
86000US24541,24541,27607,55385
86000US24586,24586,6131,38424
86000US27006,27006,14555,45592
86000US27007,27007,2230,78095
86000US27009,27009,2596,51179
86000US27011,27011,5380,89200
86000US27012,27012,27478,37167
86000US27013,27013,6135,80045
86000US27014,27014,854,51372
86000US27016,27016,1395,37143
86000US27017,27017,9236,50263
86000US27018,27018,7714,41201
86000US27019,27019,4139,45714
86000US27020,27020,5717,57075
86000US27021,27021,17539,39012
86000US27022,27022,1099,50123
86000US27023,27023,13088,41078
86000US27024,27024,3148,75208
86000US27025,27025,11387,41161
86000US27027,27027,4382,47147
86000US27028,27028,26044,32183
86000US27030,27030,35843,48167
86000US27040,27040,11803,36859
86000US27041,27041,7947,73442
86000US27042,27042,610,41771
86000US27043,27043,7094,55156
86000US27045,27045,9374,51510
86000US27046,27046,1922,53932
86000US27047,27047,1335,38589
86000US27048,27048,8059,54583
86000US27050,27050,3995,53154
86000US27051,27051,7678,54167
86000US27052,27052,9906,47940
86000US27053,27053,2973,39460
86000US27054,27054,2388,44967
86000US27055,27055,14131,70101
86000US27101,27101,19681,44574
86000US27103,27103,34993,31805
86000US27104,27104,27892,49623
86000US27105,27105,40530,64579
86000US27106,27106,48351,33937
86000US27107,27107,47610,49947
86000US27109,27109,2570,42787
86000US27110,27110,2601,0
86000US27127,27127,39902,0
86000US27201,27201,81,48262
86000US27203,27203,21684,80769
86000US27205,27205,34517,34131
86000US27207,27207,3149,47008
86000US27208,27208,1847,55625
86000US27209,27209,4591,42128
86000US27212,27212,2008,42376
86000US27214,27214,10773,46125
86000US27215,27215,41204,67895
86000US27217,27217,37624,47420
86000US27229,27229,3220,40114
86000US27231,27231,1963,38604
86000US27233,27233,3643,65054
86000US27235,27235,4557,67278
86000US27239,27239,9066,89214
86000US27242,27242,2170,48091
86000US27243,27243,4431,30569
86000US27244,27244,15535,66975
86000US27248,27248,4249,57511
86000US27249,27249,12447,44832
86000US27252,27252,2509,54516
86000US27253,27253,30544,51854
86000US27258,27258,7011,44902
86000US27260,27260,25761,47336
86000US27262,27262,24379,27361
86000US27263,27263,22028,39276
86000US27265,27265,50139,44454
86000US27278,27278,26054,60518
86000US27281,27281,3079,71657
86000US27282,27282,17835,54605
86000US27283,27283,3182,68967
86000US27284,27284,54413,57880
86000US27288,27288,23689,61071
86000US27291,27291,1735,37384
86000US27292,27292,39649,68690
86000US27295,27295,38511,41315
86000US27298,27298,10052,49195
86000US27299,27299,5945,45095
86000US27301,27301,8826,47854
86000US27302,27302,31331,62490
86000US27305,27305,1812,56230
86000US27306,27306,6211,52551
86000US27310,27310,7290,46475
86000US27311,27311,3697,117039
86000US27312,27312,20368,40769
86000US27313,27313,7134,72315
86000US27314,27314,1339,61914
86000US27315,27315,1659,49417
86000US27316,27316,7157,44722
86000US27317,27317,16640,39570
86000US27320,27320,38634,43754
86000US27325,27325,6767,41771
86000US27326,27326,2872,43333
86000US27330,27330,39279,49053
86000US27332,27332,31629,48744
86000US27340,27340,41,57649
86000US27341,27341,5263,0
86000US27343,27343,1579,44789
86000US27344,27344,18798,64244
86000US27349,27349,5500,42680
86000US27350,27350,6021,52547
86000US27355,27355,2475,44147
86000US27356,27356,2746,55812
86000US27357,27357,8652,44485
86000US27358,27358,15184,61101
86000US27360,27360,45603,90909
86000US27370,27370,15678,43661
86000US27371,27371,9102,51748
86000US27376,27376,8998,44085
86000US27377,27377,7884,63278
86000US27379,27379,5601,67332
86000US27401,27401,22105,35086
86000US27403,27403,22569,35153
86000US27405,27405,48990,45566
86000US27406,27406,63465,36462
86000US27407,27407,50288,41097
86000US27408,27408,18090,48127
86000US27409,27409,17532,63965
86000US27410,27410,55519,41455
86000US27455,27455,29020,65755
86000US27501,27501,21299,73263
86000US27502,27502,40280,56338
86000US27503,27503,6328,110513
86000US27504,27504,15182,81016
86000US27505,27505,5862,46944
86000US27507,27507,1841,47696
86000US27508,27508,1326,42602
86000US27509,27509,6285,42981
86000US27510,27510,15528,41467
86000US27511,27511,34525,53155
86000US27513,27513,44821,74339
86000US27514,27514,32304,92858
86000US27516,27516,41551,70849
86000US27517,27517,24092,85615
86000US27518,27518,20875,84940
86000US27519,27519,55111,106833
86000US27520,27520,40611,130337
86000US27521,27521,6111,65190
86000US27522,27522,11861,44231
86000US27523,27523,11629,65589
86000US27524,27524,13916,102368
86000US27525,27525,14323,48052
86000US27526,27526,47425,51570
86000US27527,27527,23160,76880
86000US27529,27529,48833,87313
86000US27530,27530,38865,60801
86000US27531,27531,779,36283
86000US27534,27534,32233,0
86000US27536,27536,16421,48270
86000US27537,27537,24578,29021
86000US27539,27539,23436,42363
86000US27540,27540,37520,105526
86000US27541,27541,3718,102268
86000US27542,27542,9953,64038
86000US27544,27544,5027,46332
86000US27545,27545,27186,56382
86000US27546,27546,21313,63683
86000US27549,27549,25645,48737
86000US27551,27551,1627,47667
86000US27553,27553,2463,46652
86000US27555,27555,672,35625
86000US27556,27556,143,30833
86000US27557,27557,7558,17679
86000US27559,27559,2225,43098
86000US27560,27560,32801,68264
86000US27562,27562,1752,93440
86000US27563,27563,4762,54693
86000US27565,27565,25375,33934
86000US27568,27568,596,47056
86000US27569,27569,7942,45263
86000US27571,27571,6664,43958
86000US27572,27572,6887,112425
86000US27573,27573,11158,72155
86000US27574,27574,14489,32726
86000US27576,27576,18104,50483
86000US27577,27577,25330,38676
86000US27581,27581,4832,46508
86000US27582,27582,447,63667
86000US27583,27583,7020,0
86000US27587,27587,66583,58274
86000US27589,27589,8155,92878
86000US27591,27591,21098,33585
86000US27592,27592,15588,62651
86000US27596,27596,18359,67820
86000US27597,27597,23538,70535
86000US27601,27601,10445,58514
86000US27603,27603,53803,36781
86000US27604,27604,47761,64087
86000US27605,27605,5490,58626
86000US27606,27606,46589,62479
86000US27607,27607,29536,51959
86000US27608,27608,11054,77092
86000US27609,27609,32870,107875
86000US27610,27610,78475,58983
86000US27612,27612,38748,50092
86000US27613,27613,42933,76765
86000US27614,27614,33287,96185
86000US27615,27615,43461,106469
86000US27616,27616,53364,82214
86000US27617,27617,18856,68084
86000US27701,27701,22849,83309
86000US27703,27703,51163,36606
86000US27704,27704,39281,60438
86000US27705,27705,49019,46720
86000US27707,27707,51168,52256
86000US27709,27709,914,51851
86000US27712,27712,21100,127125
86000US27713,27713,54621,83418
86000US27801,27801,19737,74077
86000US27803,27803,18791,32346
86000US27804,27804,29938,47843
86000US27805,27805,3761,51385
86000US27806,27806,2664,38583
86000US27807,27807,6415,37582
86000US27808,27808,1939,45422
86000US27809,27809,5083,48079
86000US27810,27810,4074,47940
86000US27812,27812,2762,40125
86000US27813,27813,825,38944
86000US27814,27814,1989,35625
86000US27816,27816,2578,51250
86000US27817,27817,7773,44787
86000US27818,27818,1335,50526
86000US27819,27819,294,32667
86000US27820,27820,2211,30865
86000US27821,27821,268,39839
86000US27822,27822,8459,14375
86000US27823,27823,7890,47181
86000US27824,27824,2001,31951
86000US27825,27825,41,62577
86000US27826,27826,915,0
86000US27827,27827,58,32297
86000US27828,27828,9489,0
86000US27829,27829,1480,37305
86000US27830,27830,4841,39130
86000US27831,27831,3199,44366
86000US27832,27832,3001,31062
86000US27834,27834,56458,36089
86000US27837,27837,6463,36360
86000US27839,27839,3503,70453
86000US27840,27840,426,31051
86000US27841,27841,24,30573
86000US27842,27842,1456,0
86000US27843,27843,1054,61806
86000US27844,27844,2955,29904
86000US27845,27845,2876,28170
86000US27846,27846,3228,33750
86000US27847,27847,699,43984
86000US27849,27849,1742,19632
86000US27850,27850,7244,36125
86000US27851,27851,5356,42176
86000US27852,27852,3134,48547
86000US27853,27853,642,43906
86000US27855,27855,6454,0
86000US27856,27856,16488,29971
86000US27857,27857,1094,52729
86000US27858,27858,59652,35588
86000US27860,27860,2066,44751
86000US27861,27861,59,38750
86000US27862,27862,649,27188
86000US27863,27863,12855,37500
86000US27864,27864,4911,56724
86000US27865,27865,2168,40455
86000US27866,27866,1028,63917
86000US27869,27869,1928,54000
86000US27870,27870,25792,29646
86000US27871,27871,4307,36287
86000US27872,27872,480,36286
86000US27873,27873,502,19236
86000US27874,27874,3766,0
86000US27875,27875,424,36023
86000US27876,27876,1346,0
86000US27878,27878,2050,35807
86000US27879,27879,339,24595
86000US27880,27880,3242,54000
86000US27881,27881,150,65768
86000US27882,27882,7637,0
86000US27883,27883,2970,42587
86000US27884,27884,1301,44561
86000US27885,27885,1066,60147
86000US27886,27886,20450,41442
86000US27888,27888,2233,35959
86000US27889,27889,26576,40156
86000US27890,27890,2778,40740
86000US27891,27891,5356,28264
86000US27892,27892,14161,42656
86000US27893,27893,39372,40243
86000US27896,27896,20681,34210
86000US27897,27897,1690,63792
86000US27909,27909,39515,47125
86000US27910,27910,11833,48277
86000US27915,27915,665,39126
86000US27916,27916,885,33125
86000US27917,27917,734,52100
86000US27919,27919,985,29684
86000US27920,27920,1327,0
86000US27921,27921,4889,48796
86000US27922,27922,786,63563
86000US27923,27923,682,40536
86000US27924,27924,3448,51330
86000US27925,27925,3991,32647
86000US27926,27926,1557,37674
86000US27927,27927,932,51343
86000US27928,27928,1771,65795
86000US27929,27929,1711,27188
86000US27932,27932,12455,80185
86000US27935,27935,1801,42052
86000US27936,27936,994,51250
86000US27937,27937,4546,37917
86000US27938,27938,1261,56523
86000US27939,27939,2547,47273
86000US27941,27941,494,56910
86000US27942,27942,1045,72569
86000US27943,27943,511,40708
86000US27944,27944,11969,73400
86000US27946,27946,1052,46240
86000US27947,27947,1431,52679
86000US27948,27948,11118,50417
86000US27949,27949,7532,57445
86000US27950,27950,2073,78191
86000US27953,27953,1013,58821
86000US27954,27954,7389,46321
86000US27956,27956,423,52626
86000US27957,27957,1298,0
86000US27958,27958,10988,41500
86000US27959,27959,2908,84575
86000US27960,27960,564,58803
86000US27962,27962,7527,0
86000US27964,27964,653,36155
86000US27965,27965,693,51321
86000US27966,27966,738,41250
86000US27967,27967,297,37837
86000US27968,27968,125,32500
86000US27970,27970,2820,57554
86000US27972,27972,70,35188
86000US27973,27973,1143,126250
86000US27974,27974,1206,41736
86000US27976,27976,3985,50865
86000US27978,27978,203,71532
86000US27979,27979,1547,0
86000US27980,27980,1758,59688
86000US27981,27981,1832,47946
86000US27982,27982,54,49954
86000US27983,27983,8631,0
86000US27985,27985,296,31382
86000US27986,27986,2339,28750
86000US28001,28001,26601,35446
86000US28006,28006,1076,45121
86000US28007,28007,714,50893
86000US28009,28009,1221,36522
86000US28012,28012,22968,33261
86000US28016,28016,13046,66910
86000US28017,28017,721,44313
86000US28018,28018,4699,0
86000US28019,28019,0,36108
86000US28020,28020,2082,0
86000US28021,28021,13991,42700
86000US28023,28023,15623,45606
86000US28025,28025,54829,54626
86000US28027,28027,63423,54774
86000US28031,28031,27460,71067
86000US28032,28032,3296,89823
86000US28033,28033,3555,59071
86000US28034,28034,17327,43674
86000US28036,28036,17824,46423
86000US28037,28037,20110,117685
86000US28039,28039,86,75516
86000US28040,28040,7738,20536
86000US28043,28043,21075,38957
86000US28052,28052,35302,35484
86000US28054,28054,37335,36243
86000US28056,28056,34401,43422
86000US28071,28071,2649,63563
86000US28072,28072,1292,43551
86000US28073,28073,5366,53750
86000US28075,28075,18621,39971
86000US28076,28076,376,99075
86000US28077,28077,464,27074
86000US28078,28078,60107,24063
86000US28079,28079,36737,95874
86000US28080,28080,7941,78407
86000US28081,28081,27557,53811
86000US28083,28083,25540,49743
86000US28086,28086,25037,48103
86000US28088,28088,2746,42571
86000US28089,28089,217,53949
